name_key,name,base_wrc_vs_r,base_wrc_vs_l
noah cardenas,Noah Cardenas,76.0220934,83.5139509
matt wallner,Matt Wallner,121.391443,95.8482783
miguel tamares,Miguel Tamares,9.1642676,9.06695828
estiven machado,Estiven Machado,40.8119988,42.3467748
brandon mcilwain,Brandon McIlwain,73.47989,80.618357
alberth palma,Alberth Palma,31.2415855,36.4105829
raimundo de los santos,Raimundo De Los Santos,8.36549175,9.69236158
caden rose,Caden Rose,50.5125711,57.8626422
dominic pitelli,Dominic Pitelli,48.3699131,24.9226165
ethan frey,Ethan Frey,43.1256477,50.3979718
starlin aguilar,Starlin Aguilar,19.3151054,-2.3736839
paris johnson,Paris Johnson,0.95798335,7.21895537
cade mcgee,Cade McGee,36.8795874,43.2442828
joe suozzi,Joe Suozzi,70.0938557,77.6868256
yohander martinez,Yohander Martinez,33.0292604,37.6729817
estiven giron,Estiven Giron,9.46905947,-10.706608
ian farrow,Ian Farrow,25.6482512,32.8122667
andy lugo,Andy Lugo,54.5340401,60.9325449
jo adell,Jo Adell,105.036072,123.442085
sergio tapia,Sergio Tapia,32.658829,37.8968825
marvin alcantara,Marvin Alcantara,58.8344723,65.2576203
korry howell,Korry Howell,70.2403645,79.1961728
josh morgan,Josh Morgan,62.0836139,68.2809714
kevin garcia,Kevin Garcia,16.7378045,22.7104548
santiago gomez,Santiago Gomez,28.0279415,32.6933584
drew avans,Drew Avans,75.59895,52.1053893
haritzon castillo,Haritzon Castillo,14.6100802,16.0976998
dylan dreiling,Dylan Dreiling,63.2463227,35.3770143
abimelec ortiz,Abimelec Ortiz,101.813334,69.8816574
ryan ritter,Ryan Ritter,80.2371371,91.2617778
xavier guillen,Xavier Guillen,25.7275329,28.6015594
dario laverde,Dario Laverde,40.6948147,18.6038876
zach daudet,Zach Daudet,41.0708722,47.664576
brewer hicklen,Brewer Hicklen,72.0673831,83.8037206
frederi montero,Frederi Montero,14.7267224,-4.9508081
julio acosta,Julio Acosta,-11.364392,-5.4353798
hunter haas,Hunter Haas,24.1250587,29.5526689
luke ritter,Luke Ritter,64.0285861,72.8672312
waner luciano,Waner Luciano,29.381656,34.3934457
gabriel terrero,Gabriel Terrero,17.2009863,18.8263381
wagnel luna,Wagnel Luna,1.72817175,6.49535549
axiel plaz,Axiel Plaz,51.0560468,57.1366557
edgardo figueroa,Edgardo Figueroa,-9.7571874,-5.6962868
nestor urbina,Nestor Urbina,9.58903911,12.0186463
ariel almonte,Ariel Almonte,42.6626547,14.1673867
michael hermosillo,Michael Hermosillo,84.8973922,95.0347332
colson montgomery,Colson Montgomery,103.117701,82.4253432
riley unroe,Riley Unroe,72.7392852,73.6358659
erick torres,Erick Torres,46.9396877,52.3910967
yolfran castillo,Yolfran Castillo,34.6341769,39.5505236
nelson beltran,Nelson Beltran,24.3630972,30.8876837
isaac pena,Isaac Pena,30.4430452,30.9447022
connor dykstra,Connor Dykstra,19.64748,23.8018825
bjay cooke,Bjay Cooke,16.1755139,21.8968075
hiroyuki nakajima,Hiroyuki Nakajima,59.0354476,64.9300405
eliesbert alejos,Eliesbert Alejos,14.4414603,17.8808125
haniel german,Haniel German,0.82893867,6.53846619
joshua fermin,Joshua Fermin,-3.4597634,1.03737844
ludwing espinoza,Ludwing Espinoza,1.48501548,6.46562154
rafael oropeza,Rafael Oropeza,-0.9064973,-15.905447
darlin moquete,Darlin Moquete,64.5425477,72.1433873
luis rengifo,Luis Rengifo,92.6633895,100.040675
darius hill,Darius Hill,74.0007178,49.6984843
jake cunningham,Jake Cunningham,36.3470731,43.5336494
adrian pinto,Adrian Pinto,65.4469353,71.6696279
cole young,Cole Young,107.884308,88.9372695
drew bowser,Drew Bowser,34.3497927,41.4368693
alex hall,Alex Hall,47.241421,46.8413316
kyle schwarber,Kyle Schwarber,141.681821,116.642987
james tibbsi,James TibbsI,96.1911638,62.6964787
jonah heim,Jonah Heim,81.4280877,87.9118162
jameson hannah,Jameson Hannah,84.0470693,56.3087501
johnathan rodriguez,Johnathan Rodriguez,98.8503414,113.859202
amauri ramirez,Amauri Ramirez,8.80365571,-11.736619
eduardo ponce,Eduardo Ponce,14.8880236,20.4993835
donovan antonia,Donovan Antonia,22.6526827,27.848979
angel tejada,Angel Tejada,34.1335076,39.4046841
larry martinez,Larry Martinez,34.6027289,38.9694304
david guzman,David Guzman,23.8816494,2.96538337
carlos narvaez,Carlos Narvaez,89.0514583,100.918862
cody wilson,Cody Wilson,35.4103494,42.8638881
dustin peterson,Dustin Peterson,65.4993837,74.2564689
alessander de la cruz,Alessander De La Cruz,12.8898572,19.3936474
estevan florial,Estevan Florial,94.150897,65.2371121
cameron leary,Cameron Leary,60.4135371,33.0446901
limanol payero,Limanol Payero,-7.9900187,-2.836339
cam devanney,Cam Devanney,69.6017654,78.8848841
joe olsavsky,Joe Olsavsky,43.4677891,48.5202166
