name_key,name,fld_proj_pg,bsr_proj_pg
dylan carlson,Dylan Carlson,0.00882608,-0.0043414
luke williams,Luke Williams,0.00824594,0.01935452
nick yorke,Nick Yorke,0.00778072,-0.0034655
braxton fulford,Braxton Fulford,0.00708718,0.01121464
zack short,Zack Short,0.00662301,-0.005268
denzer guzman,Denzer Guzman,0.00616,-0.0070589
chuckie robinson,Chuckie Robinson,0.00598973,-0.0054213
jerar encarnacion,Jerar Encarnacion,0.00548083,-0.00238
jim jarvis,Jim Jarvis,0.00445209,-0.0048582
nick sogard,Nick Sogard,0.00428,-0.0024205
garrett stubbs,Garrett Stubbs,0.00398,-0.0045653
sandy leon,Sandy Leon,0.00347511,-0.0007389
alex jackson,Alex Jackson,0.00156328,-0.00234
luken baker,Luken Baker,-0.0001701,-0.0043387
aramis garcia,Aramis Garcia,-0.0002445,-0.0013664
bryan torres,Bryan Torres,-0.0003654,0.00124949
cesar salazar,Cesar Salazar,-0.0013137,-0.0045265
lamonte wade,LaMonte Wade,-0.0021084,-0.0004844
everson pereira,Everson Pereira,-0.0022484,0.00263164
billy cook,Billy Cook,-0.0024584,0.00665261
colby thomas,Colby Thomas,-0.002801,-0.0058753
michael helman,Michael Helman,-0.0030666,0.00497713
john rave,John Rave,-0.0030696,0.0040407
trey mancini,Trey Mancini,-0.0034053,-0.006382
nick morabito,Nick Morabito,-0.0040312,-0.0044734
will brennan,Will Brennan,-0.0040856,-0.0066399
kameron misner,Kameron Misner,-0.0041343,0.01015891
gabriel gonzalez,Gabriel Gonzalez,-0.0048354,-0.0076053
dustin harris,Dustin Harris,-0.0049907,0.02228056
ryan mountcastle,Ryan Mountcastle,-0.0051627,-0.0001584
sebastian rivero,Sebastian Rivero,-0.00629,-0.0044191
kyle farmer,Kyle Farmer,-0.0073001,-0.0073285
greg jones,Greg Jones,-0.007301,0.01098016
charles mcadoo,Charles McAdoo,-0.0073249,0.00676539
carson williams,Carson Williams,-0.0075466,-0.0044824
grant mccray,Grant McCray,-0.0075502,0.0219
eduardo valencia,Eduardo Valencia,-0.0079227,-0.0047088
